======================================================================
Latent COT Dynamical Systems Analysis
======================================================================
Output directory: results\coconut_gpt2\20260415_164805

[Step 1] Loading model...
Loaded coconut model from checkpoints/coconut

[Step 2] Running inference on dataset...
Map:   0%|          | 0/1319 [00:00<?, ? examples/s]Map: 100%|##########| 1319/1319 [00:00<00:00, 54680.92 examples/s]

GSM8K concept distribution (full test split, 1319 rows):
  Geometry                      : 21
  Rates & Speed                 : 105
  Percentages & Ratios          : 188
  Money & Pricing               : 423
  Fractions & Decimals          : 172
  Multiplication & Division     : 25
  Arithmetic & Multi-step       : 385
  WARNING: concept 'Geometry' has only 21 samples (quota=500); using all 21
  WARNING: concept 'Rates & Speed' has only 105 samples (quota=500); using all 105
  WARNING: concept 'Percentages & Ratios' has only 188 samples (quota=500); using all 188
  WARNING: concept 'Money & Pricing' has only 423 samples (quota=500); using all 423
  WARNING: concept 'Fractions & Decimals' has only 172 samples (quota=500); using all 172
  WARNING: concept 'Multiplication & Division' has only 25 samples (quota=500); using all 25
  WARNING: concept 'Arithmetic & Multi-step' has only 385 samples (quota=500); using all 385

Stratified sample counts (total=1319):
  Geometry                      : 21
  Rates & Speed                 : 105
  Percentages & Ratios          : 188
  Money & Pricing               : 423
  Fractions & Decimals          : 172
  Multiplication & Division     : 25
  Arithmetic & Multi-step       : 385
[1/1319] Label=Arithmetic & Multi-step      Expected=4.0, Predicted=3.0, Correct=False, Latent shape=torch.Size([6, 768])
[2/1319] Label=Arithmetic & Multi-step      Expected=120.0, Predicted=180.0, Correct=False, Latent shape=torch.Size([6, 768])
[3/1319] Label=Arithmetic & Multi-step      Expected=1210.0, Predicted=1270.0, Correct=False, Latent shape=torch.Size([6, 768])
[4/1319] Label=Arithmetic & Multi-step      Expected=650.0, Predicted=550.0, Correct=False, Latent shape=torch.Size([6, 768])
[5/1319] Label=Arithmetic & Multi-step      Expected=25.0, Predicted=17.0, Correct=False, Latent shape=torch.Size([6, 768])
[6/1319] Label=Percentages & Ratios         Expected=50.0, Predicted=33.33, Correct=False, Latent shape=torch.Size([6, 768])
[7/1319] Label=Money & Pricing              Expected=4800.0, Predicted=5200.0, Correct=False, Latent shape=torch.Size([6, 768])
[8/1319] Label=Money & Pricing              Expected=23.0, Predicted=52.5, Correct=False, Latent shape=torch.Size([6, 768])
[9/1319] Label=Fractions & Decimals         Expected=20.0, Predicted=20.0, Correct=True, Latent shape=torch.Size([6, 768])
[10/1319] Label=Arithmetic & Multi-step      Expected=38.0, Predicted=54.0, Correct=False, Latent shape=torch.Size([6, 768])
[11/1319] Label=Arithmetic & Multi-step      Expected=14.0, Predicted=14.0, Correct=True, Latent shape=torch.Size([6, 768])
[12/1319] Label=Arithmetic & Multi-step      Expected=840.0, Predicted=560.0, Correct=False, Latent shape=torch.Size([6, 768])
