======================================================================
Latent COT Dynamical Systems Analysis
======================================================================
Output directory: results\codi_gpt2\20260416_010237

[Step 1] Loading model...
Loading weights:   0%|          | 0/154 [00:00<?, ?it/s]Loading weights: 100%|##########| 154/154 [00:00<00:00, 10216.74it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Passing `generation_config` together with generation-related arguments=({'num_return_sequences', 'use_cache'}) is deprecated and will be removed in future versions. Please pass either a `generation_config` object OR all generation parameters explicitly, but not both.
Loaded codi model from checkpoints/codi

[Step 2] Running inference on dataset...

GSM8K concept distribution (full train+test split, 8792 rows):
  Geometry                      : 210
  Rates & Speed                 : 675
  Percentages & Ratios          : 1266
  Money & Pricing               : 2741
  Fractions & Decimals          : 1045
  Multiplication & Division     : 224
  Arithmetic & Multi-step       : 2631
  WARNING: concept 'Geometry' has only 210 samples (quota=2858); using all 210
  WARNING: concept 'Rates & Speed' has only 675 samples (quota=2857); using all 675
  WARNING: concept 'Percentages & Ratios' has only 1266 samples (quota=2857); using all 1266
  WARNING: concept 'Money & Pricing' has only 2741 samples (quota=2857); using all 2741
  WARNING: concept 'Fractions & Decimals' has only 1045 samples (quota=2857); using all 1045
  WARNING: concept 'Multiplication & Division' has only 224 samples (quota=2857); using all 224
  WARNING: concept 'Arithmetic & Multi-step' has only 2631 samples (quota=2857); using all 2631

Stratified sample counts (total=8792):
  Geometry                      : 210
  Rates & Speed                 : 675
  Percentages & Ratios          : 1266
  Money & Pricing               : 2741
  Fractions & Decimals          : 1045
  Multiplication & Division     : 224
  Arithmetic & Multi-step       : 2631
[1/8792] Label=Arithmetic & Multi-step      Expected=7.0, Predicted=2.0, Correct=False, Latent shape=torch.Size([6, 768])
[2/8792] Label=Percentages & Ratios         Expected=14.0, Predicted=14.0, Correct=True, Latent shape=torch.Size([6, 768])
[3/8792] Label=Money & Pricing              Expected=7.0, Predicted=9.0, Correct=False, Latent shape=torch.Size([6, 768])
[4/8792] Label=Money & Pricing              Expected=50.0, Predicted=50.0, Correct=True, Latent shape=torch.Size([6, 768])
[5/8792] Label=Arithmetic & Multi-step      Expected=200.0, Predicted=200.0, Correct=True, Latent shape=torch.Size([6, 768])
[6/8792] Label=Arithmetic & Multi-step      Expected=1600.0, Predicted=1600.0, Correct=True, Latent shape=torch.Size([6, 768])
[7/8792] Label=Fractions & Decimals         Expected=30.0, Predicted=30.0, Correct=True, Latent shape=torch.Size([6, 768])
[8/8792] Label=Arithmetic & Multi-step      Expected=57.0, Predicted=57.0, Correct=True, Latent shape=torch.Size([6, 768])
[9/8792] Label=Money & Pricing              Expected=36.0, Predicted=36.0, Correct=True, Latent shape=torch.Size([6, 768])
[10/8792] Label=Percentages & Ratios         Expected=20.0, Predicted=16.67, Correct=False, Latent shape=torch.Size([6, 768])
[11/8792] Label=Geometry                     Expected=210000.0, Predicted=210000.0, Correct=True, Latent shape=torch.Size([6, 768])
[12/8792] Label=Arithmetic & Multi-step      Expected=35.0, Predicted=35.0, Correct=True, Latent shape=torch.Size([6, 768])
[13/8792] Label=Money & Pricing              Expected=8.0, Predicted=24.0, Correct=False, Latent shape=torch.Size([6, 768])
[14/8792] Label=Rates & Speed                Expected=810.0, Predicted=810.0, Correct=True, Latent shape=torch.Size([6, 768])
[15/8792] Label=Money & Pricing              Expected=1200.0, Predicted=1200.0, Correct=True, Latent shape=torch.Size([6, 768])
[16/8792] Label=Arithmetic & Multi-step      Expected=57.0, Predicted=57.0, Correct=True, Latent shape=torch.Size([6, 768])
[17/8792] Label=Money & Pricing              Expected=5.0, Predicted=5.0, Correct=True, Latent shape=torch.Size([6, 768])
[18/8792] Label=Arithmetic & Multi-step      Expected=2100.0, Predicted=2100.0, Correct=True, Latent shape=torch.Size([6, 768])
[19/8792] Label=Money & Pricing              Expected=25.0, Predicted=17.25, Correct=False, Latent shape=torch.Size([6, 768])
[20/8792] Label=Money & Pricing              Expected=810.0, Predicted=570.0, Correct=False, Latent shape=torch.Size([6, 768])
[21/8792] Label=Arithmetic & Multi-step      Expected=71.0, Predicted=71.0, Correct=True, Latent shape=torch.Size([6, 768])
[22/8792] Label=Money & Pricing              Expected=16.0, Predicted=5.0, Correct=False, Latent shape=torch.Size([6, 768])
[23/8792] Label=Money & Pricing              Expected=102.0, Predicted=102.0, Correct=True, Latent shape=torch.Size([6, 768])
[24/8792] Label=Money & Pricing              Expected=16.0, Predicted=16.0, Correct=True, Latent shape=torch.Size([6, 768])
[25/8792] Label=Money & Pricing              Expected=52.0, Predicted=52.0, Correct=True, Latent shape=torch.Size([6, 768])
[26/8792] Label=Rates & Speed                Expected=480.0, Predicted=520.0, Correct=False, Latent shape=torch.Size([6, 768])
[27/8792] Label=Money & Pricing              Expected=1500.0, Predicted=800.0, Correct=False, Latent shape=torch.Size([6, 768])
[28/8792] Label=Money & Pricing              Expected=1300.0, Predicted=9500.0, Correct=False, Latent shape=torch.Size([6, 768])
[29/8792] Label=Percentages & Ratios         Expected=25.0, Predicted=25.0, Correct=True, Latent shape=torch.Size([6, 768])
[30/8792] Label=Multiplication & Division    Expected=3.0, Predicted=16.0, Correct=False, Latent shape=torch.Size([6, 768])
